"Openbare bibliotheken"
""
"";"";"Periods"
"Subject";"";"2005, excluding provincial organisations";"2006, excluding provincial organisations";"2007, excluding provincial organisations";"2008, excluding provincial organizations";"2009, excluding provincial organisations";"2010, excluding provincial organizations";"2011, excluding provincial organisations";"2012, excluding provincial organisations";"2013, excluding provincial organisations";"2014, excluding provincial organisations";"2015, excluding provincial organisations";"2016, excluding provincial organisations";"2017, excluding provincial organisations";"2018, excluding provincial organisations";"2019, excluding provincial organisations";"2020, excluding provincial organizations";"2021, excluding provincial organisations";"2022, excluding provincial organisations*"
"Exploitatie|Baten|Overige baten";"million euros";"17,4";"12,9";"12,0";"13,7";"17,3";"13,7";"15,3";"17,0";"15,2";"9,6";"8,4";"9,3";"16,3";"14,2";"12,8";"9,9";"12,6";"17,7"
"Exploitatie|Lasten|Totaal lasten";"million euros";"485,2";"500,7";"513,7";"541,7";"563,7";"567,2";"564,7";"555,4";"534,5";"510,9";"517,7";"512,5";"509,0";"519,0";"529,0";"512,6";"536,4";"589,6"
"Exploitatie|Lasten|Huisvestingskosten";"million euros";"101,1";"101,5";"105,9";"113,5";"120,0";"123,2";"126,7";"131,9";"127,5";"118,8";"122,2";"118,5";"115,6";"115,3";"115,5";"119,2";"121,8";"125,7"
"Exploitatie|Lasten|Personeel in loondienst";"million euros";"226,3";"228,4";"232,9";"243,6";"248,6";"254,3";"250,3";"252,1";"241,2";"226,0";"227,7";"229,8";"232,7";"245,0";"253,0";"258,2";"265,3";"288,9"
"Exploitatie|Lasten|Personeel niet in loondienst";"million euros";"5,8";"11,6";"12,0";"13,4";"16,3";"16,0";"17,6";"14,5";"14,9";"15,9";"17,3";"17,1";"19,8";"18,9";"18,9";"16,0";"17,1";"24,5"
"Exploitatie|Lasten|Administratie en automatisering";"million euros";"41,5";"44,5";"45,0";"46,9";"49,4";"50,5";"50,6";"48,2";"46,5";"46,0";"46,2";"43,8";"43,1";"42,8";"42,0";"40,5";"41,0";"43,4"
"Exploitatie|Lasten|Mediakosten";"million euros";"75,5";"75,9";"75,5";"79,5";"79,8";"77,4";"75,9";"68,6";"70,0";"65,1";"63,1";"58,7";"56,7";"55,0";"54,8";"52,0";"49,6";"50,9"
"Exploitatie|Lasten|Betaalde rente";"million euros";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Exploitatie|Lasten|Afschrijvingen";"million euros";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Exploitatie|Lasten|Overige lasten";"million euros";"35,1";"38,8";"42,4";"44,8";"49,7";"45,7";"43,7";"40,1";"34,4";"39,0";"41,0";"44,6";"41,1";"42,0";"45,0";"26,8";"41,6";"56,1"
"Bron: CBS"
